id,temp,humid
0,24,17
1,24,17
2,23,17
3,23,17
4,23,18
5,22,18
6,22,18
7,22,18
8,22,18
9,22,19

10,22,18
11,22,18
12,22,18
13,22,20
14,22,18
15,22,18
16,22,19
17,22,18
18,22,18
19,21,18
20,21,18
21,21,18
22,21,18
23,21,18

24,21,19
25,21,18
26,21,18
27,21,18
28,21,18
